t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.700675,to_zero_prehold,2.906708717,0.196349993,0.003906250,2.906708717,0.000000000,-0.1103109376
0.705757,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.09755145486
0.710727,to_zero_prehold,2.906708717,0.196349993,0.000000000,2.906708717,0.000000000,-0.04894872404
0.715687,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.05979922
0.720695,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1148867281
0.725693,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000,-0.1383325508
0.730679,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.135819269
0.735930,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000,-0.106737737
0.740680,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1273210518
0.745681,to_zero_prehold,2.906516790,-0.220893756,-0.003906250,2.906708717,0.000000000,-0.1192763974
0.750680,to_zero_prehold,2.906516790,0.122718751,0.000000000,2.906708717,0.000000000,-0.08660267047
0.755680,to_zero_prehold,2.906516790,0.098174997,0.000000000,2.906708717,0.000000000,-0.1046623273
0.760676,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000,-0.1718838125
0.765706,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000,-0.203431976
0.770675,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2247992297
0.775728,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.2411643702
0.780673,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000,-0.2683912036
0.785678,to_zero_prehold,2.906325102,-0.564506233,0.000000000,2.906708717,0.000000000,-0.29523266
0.790673,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.2568100864
0.795674,to_zero_prehold,2.906516790,-0.098174997,-0.003906250,2.906708717,0.000000000,-0.2330412693
0.800672,to_zero_prehold,2.906516790,-0.294524997,0.003906250,2.906708717,0.000000000,-0.2419600877
0.805654,to_zero_prehold,2.906708717,-0.319068760,0.000000000,2.906708717,0.000000000,-0.2381387112
0.810716,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000,-0.2147022605
0.815653,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.2016625477
0.820653,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.1780130675
0.825737,to_zero_prehold,2.906708717,-0.024543749,0.000000000,2.906708717,0.000000000,-0.1380218782
0.830673,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000,-0.1255344649
